phone_model,camera_model,calib_grid,calib_size,fx,fy,cx,cy,k1,k2,k3,k4,r1,r2
iPhone10,pinEqui,AprilGrid,small,1469.931536,1470.146054,539.4354122,926.5748978,0.62998593,−2.33850928,8.04898399,−8.95504838,,
iPhone10,pinEqui,Checkerboard,small,1486.435692,1488.681277,531.5293601,943.0960488,0.6938931,−2.95811028,10.95308244,−13.14101896,,
iPhone10,pinEqui,AprilGrid,big,1481.357224,1480.149932,535.6216089,929.9089196,0.65355937,−2.36253582,8.47473829,−9.80128582,,
iPhone10,pinEqui,Checkerboard,big,1464.176488,1465.241234,532.5445299,934.8892672,0.65242044,−2.24189695,7.66901644,−8.50055505,,
iPhone14,pinEqui,AprilGrid,small,1274.674985,1275.433922,540.1176466,965.9237016,0.63554346,−1.23809548,2.40230819,−1.46201868,,
iPhone14,pinEqui,Checkerboard,small,1279.335458,1278.917611,547.7845775,976.6926167,0.68417253,−1.70794726,4.0461089,−3.27384029,,
iPhone14,pinEqui,AprilGrid,big,1283.781807,1282.579782,540.2015263,969.1328785,0.65202191,−1.23822972,2.58150551,−1.72074777,,
iPhone14,pinEqui,Checkerboard,big,1269.294925,1273.18992,539.8742244,968.4356041,0.61778446,−1.02865323,1.98515448,−1.06196061,,
Google Pixel 7 (1),pinEqui,AprilGrid,small,1367.731541,1365.30835,530.4103516,952.0602582,0.45750388,−0.81062777,3.07165315,−3.57036993,,
Google Pixel 7 (1),pinEqui,Checkerboard,small,1366.35581,1362.49111,518.3309393,978.8668957,0.49556115,−1.43906249,5.39519527,−6.05103559,,
Google Pixel 7 (1),pinEqui,AprilGrid,big,1346.084623,1343.703819,541.4373106,943.3909173,0.48111271,−0.64015616,2.46981856,−2.7358438,,
Google Pixel 7 (1),pinEqui,Checkerboard,big,1328.552808,1331.597268,530.5458512,948.0775256,0.49583823,−0.68249741,2.58726175,−2.90229415,,
Google Pixel 7 (4),pinEqui,AprilGrid,small,1311.747683,1311.154647,559.5685741,930.8541834,0.38208161,−0.27534816,1.30053302,−1.47317381,,
Google Pixel 7 (4),pinEqui,Checkerboard,small,1343.392028,1341.629108,545.7787219,928.1528083,0.35082968,−0.37649144,2.11987587,−2.42172847,,
Google Pixel 7 (4),pinEqui,AprilGrid,big,1340.380074,1338.101376,539.6685088,942.3115547,0.4414186,−0.32100609,1.51012062,−1.79549778,,
Google Pixel 7 (4),pinEqui,Checkerboard,big,1347.623678,1347.69569,537.0720057,945.5564409,0.45986091,−0.3040989,1.38109279,−1.67044103,,
iPhone10,pinRad,AprilGrid,small,1493.096274,1494.3704,540.7729819,911.2506227,0.01758401,−0.04516568,,,−0.00446484,0.0002226
iPhone10,pinRad,Checkerboard,small,1494.91315,1495.873025,548.6509138,923.8685593,0.0588022,−0.15948007,,,−0.00196702,−0.00137543
iPhone10,pinRad,AprilGrid,big,1498.344978,1496.924887,534.6981893,925.8338953,0.04863047,−0.06945711,,,−0.00016602,−0.00194993
iPhone10,pinRad,Checkerboard,big,1487.99909,1490.175482,536.7512926,928.5887098,0.05873503,-0.10099677,,,−0.00145221,−0.00004859
iPhone14,pinRad,AprilGrid,small,1283.236282,1283.85675,532.0000076,975.7453321,0.0619822,−0.11835494,,,0.00110206,−0.0021146
iPhone14,pinRad,Checkerboard,small,1296.252882,1297.699736,542.291176,964.2769419,0.09079099,−0.1620354,,,−0.00179097,0.00000655
iPhone14,pinRad,AprilGrid,big,1295.797471,1293.676221,535.1517837,968.0925835,0.09596824,−0.14148223,,,−0.00025212,−0.00120885
iPhone14,pinRad,Checkerboard,big,1278.663168,1282.048967,538.1656002,966.72725,0.11295954,−0.17745524,,,−0.00022976,−0.00062111
Google Pixel 7 (1),pinRad,AprilGrid,small,1375.4948,1373.09327,534.6290908,945.5942329,0.02600098,−0.05870314,,,−0.00168712,−0.0009132
Google Pixel 7 (1),pinRad,Checkerboard,small,1382.443139,1378.328883,530.2121384,959.8501979,−0.01534583,0.00948902,,,−0.00224183,0.00317293
Google Pixel 7 (1),pinRad,AprilGrid,big,1355.996559,1352.951966,523.2396416,955.842652,0.06384373,−0.06765993,,,0.00200914,−0.00111423
Google Pixel 7 (1),pinRad,Checkerboard,big,1336.84617,1340.683355,540.0661376,955.7365296,0.06508092,−0.06988238,,,-0.0006461,0.00155619
Google Pixel 7 (4),pinRad,AprilGrid,small,1359.273403,1357.025815,545.1776969,934.8577152,0.00901664,−0.02674816,,,−0.00029921,−0.00035279
Google Pixel 7 (4),pinRad,Checkerboard,small,1345.575847,1344.098772,544.2784529,927.6570456,−0.02805944,0.03006507,,,−0.00074319,0.00140351
Google Pixel 7 (4),pinRad,AprilGrid,big,1348.185242,1344.927369,537.6643561,939.5277031,0.06243376,−0.06823062,,,0.00049108,−0.00124877
Google Pixel 7 (4),pinRad,Checkerboard,big,1351.504983,1354.127358,537.8692357,946.4861963,0.06310658,−0.06794929,,,−0.00031493,0.00011638
